Event	Score
689	5.699028424192757
690	5.593450620935645
691	4.2833262726680035
692	3.9762987058011574
693	3.6585320893159303
694	5.452193139683144
695	3.926624265033328
696	4.7010464315384155
697	4.162528524292151
698	4.6081598615213855
699	6.014976560079043
700	4.369753012229783
701	5.528375209933497
702	4.77148896062704
703	5.988530903742556
704	6.628059089142021
705	5.867897880286304
706	5.436728014610333
707	4.5228373223734515
708	5.337174306241738
709	5.171001099009633
710	5.229110726743956
711	3.7793379798180506
712	3.99947846319123
713	4.967107097481469
714	5.227005690587117
715	6.624775098062723
716	3.8608555878229147
717	4.289616057577009
718	3.9564967001516007
719	4.8078496245261215
720	5.3848272563518815
721	5.73464760165665
722	4.761194415380222
723	5.858836160199021
724	5.618191315388975
725	5.819970140804583
726	4.471306703911592
727	4.710669123168936
728	5.626178434773598
729	4.670690005462711
730	5.435352548563168
731	4.182587992303958
732	5.206920527492605
733	5.457700087668472
734	3.529717367492399
735	6.242050118771663
736	5.3848272563518815
737	3.0067249658730466
738	5.558387388496196
739	4.112003232080864
740	6.213383030108181
741	5.439129831087108
742	4.262877832213106
743	5.071997123146544
744	6.2614554580334625
745	4.902424045457304
746	5.4940533890020955
747	3.510383514198917
748	5.4222892399671325
749	4.819203085577795
750	3.8448015208387902
751	4.714916931317243
752	3.567432190658775
753	3.1505995930470325
754	4.89484786692957
755	3.63744254446458
756	5.941147054092605
757	5.435352548563168
758	4.5340052783191975
759	4.238646389563296
760	5.465746695406933
761	5.858836160199021
762	5.390254453312059
763	3.012996085041394
764	4.778309949113606
765	5.211124826031724
766	5.258838121410493
767	6.499780527668185
768	5.226149312214376
769	4.152905832661631
770	5.342221140131668
771	5.6380494643862535
772	2.9201661677087296
773	4.7385084151536665
774	5.439129831087108
775	5.342221140131668
776	5.275049749685683
777	5.601270825325838
778	5.727940304079056
779	5.817933559618255
780	4.133987860441984
781	5.32557504189697
782	4.96559219096832
783	5.206920527492605
784	6.244784300102505
785	3.942897381256307
786	5.244042897810238
787	4.428890045947593
788	6.02817303054466
789	5.4940533890020955
790	4.121132157268487
791	5.354014897361714
792	4.558939873763612
793	5.7230871257290366
794	3.716738322559758
795	5.747826971052452
796	4.1247280795556485
797	3.615233052108719
798	5.69981871756832
799	4.348393516829427
800	5.334352895025349
801	5.37884868537572
802	5.659835487245779
803	5.406204732884717
804	5.949207882868629
805	4.752947189796868
806	4.78616136526381
807	2.9900538079420906
808	5.338549772288903
809	5.3311957352655766
810	5.9981535953730765
811	4.095814135325655
812	3.594943845156651
813	3.956487236035024
814	5.949207882868629
815	5.411562349504123
816	4.319155732989525
817	4.1875030619114435
818	5.949207882868629
819	6.050992594071519
820	5.537571904546365
821	6.095813856489329
822	6.413017006854896
823	6.584507748025925
824	3.6478395023611347
825	3.6619651268363445
826	3.573721889181363
827	5.319385387786864
828	5.237616165435206
829	5.961932730343412
830	6.471597128434362
831	6.216634195615652
832	3.9649357806329073
833	5.200509756053602
834	5.303126144781135
835	4.198195648866239
836	4.778309949113606
837	3.5485194639950395
838	5.4688642976140995
839	4.077413590566756
840	5.417868976665866
841	5.338299889371753
842	4.153846009439262
843	5.6391364195352836
844	3.674235383646481
845	4.473726768024928
846	6.004870623972788
847	4.933996099321463
848	3.5264006495888296
849	5.682006171626554
850	4.7195904429340185
851	2.243518644417759
852	4.443940285478333
853	4.926300407098878
854	4.221229364731078
855	4.2374904270332125
856	6.008062582996532
857	3.6171438644185345
858	4.866277155766115
859	5.348172463919422
860	5.4940533890020955
861	6.035749209072392
862	5.858836160199021
863	4.198195648866239
864	4.238646389563296
865	5.565772988569541
866	4.912307840059151
867	4.688153883479743
868	5.617941983256794
869	3.7335531504974906
870	5.429532199152846
871	3.490997389623194
872	3.158176851673227
873	4.238646389563296
874	4.137791388151684
875	4.8590341965804
876	4.9351520618515465
877	5.482667037552059
878	4.932893798457071
879	6.711953855358126
880	4.153100325546909
881	5.911177624389005
882	3.703516792397883
883	3.532021342957436
884	3.694878996693955
885	4.468536272231525
886	4.445576663538075
887	6.131858220851417
888	4.071457716500658
889	5.564101492948082
890	3.779920602721919
891	3.573721889181363
892	5.150607368879308
893	5.6013218048621605
894	5.342221140131668
895	4.983403417620481
896	4.8590341965804
897	5.273416555621182
898	5.390254453312059
899	5.928153106157629
900	3.826570323251592
901	5.421655723306383
902	3.1812547116338488
903	4.8590341965804
904	5.8936784569120215
905	4.314202422674409
906	5.747826971052452
907	5.419268041480753
908	4.34954947935951
909	5.570626166919559
910	5.407530098831173
911	3.759350317371876
912	5.540855895625663
913	6.196776046618374
914	6.050992594071519
915	3.599058576864853
916	4.710669123168936
917	4.191094839329455
918	4.406024461944078
919	4.280947882473013
920	4.466559421597032
921	3.9298572765763042
922	5.71060644003687
923	4.336486170763475
924	5.373395171271401
925	5.940994273249257
926	4.102380540450344
927	5.387554150044408
928	5.924323115318301
929	4.107807737410522
930	5.960116968117876
931	5.724753313012735
932	6.033679978529987
933	5.687309513900036
934	5.617941983256794
935	5.768974819856349
936	6.195109859334676
937	5.436728014610333
938	4.808508904369114
939	5.162330487910772
940	6.03779572217518
941	4.299013876922184
942	5.204658151481814
943	5.237616165435206
944	4.327201940254207
945	3.490525365201638
946	5.757555762033327
947	4.766815108748829
948	5.831426779163193
949	3.7568427427612985
950	4.213283630246559
951	6.340481585435181
952	4.683259288004695
953	3.816652265481853
954	3.5416440345879563
955	4.7932461028836855
956	5.295139025396512
957	4.137791388151684
958	4.175253371766935
959	3.457834542970666
960	4.0309564397705335
961	3.6939369435354514
962	3.3875271033570025
